key,description,am (Amharic),ar (Arabic),bg (Bulgarian),bn (Bengali),bn_BD (Bengali (Bangladesh)),bs (Bosnian),ca (Catalan),cs (Czech),cy (Welsh),da (Danish),de (German),en (English),es (Spanish),es_419 (Spanish (Latin America)),et (Estonian),eu (Basque),fa (Persian),fi (Finnish),fo (Faroese),fr (French),ga (Irish),gl (Galician),ha (Hausa),he (Hebrew),hi (Hindi),hr (Croatian),hu (Hungarian),id (Indonesian),is (Icelandic),it (Italian),ja (Japanese),ko (Korean),lt (Lithuanian),lv (Latvian),mk (Macedonian),ms (Malay),mt (Maltese),nl (Dutch),no (Norwegian),pl (Polish),pt (Portuguese),pt_BR (Portuguese (Brazil)),ro (Romanian),ru (Russian),sk (Slovak),sl (Slovenian),sq (Albanian),sr (Serbian),sv (Swedish),th (Thai),tr (Turkish),uk (Ukrainian),ur (Urdu),vi (Vietnamese),zh (Chinese (Simplified)),zh_Hant (Chinese (Traditional))
adminLogadminemail,Translation key: adminLogadminemail,,,,,,,,,,,,Admin: {log_adminEmail},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adminMetrics,Translation key: adminMetrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin-Metriken,Admin Metrics,Métricas de administrador,Admin Metrics,Admin Metrics,Admin Metrics,معیارهای ادمین,Admin Metrics,Admin Metrics,Métriques administrateur,Admin Metrics,Admin Metrics,Ma'aunin mai kulawa,Admin Metrics,व्यवस्थापक मेट्रिक्स,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,Admin Metrics,ایڈمن میٹرکس,Admin Metrics,Admin Metrics,Admin Metrics
adminOverviewGoesHere,Translation key: adminOverviewGoesHere,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin-Übersicht kommt hier,Admin overview goes here,Resumen de administrador va aquí,Admin overview goes here,Admin overview goes here,Admin overview goes here,نمای کلی ادمین اینجا می‌آید,Admin overview goes here,Admin overview goes here,Aperçu administrateur va ici,Admin overview goes here,Admin overview goes here,Bayanin mai kulawa ya zo nan,Admin overview goes here,व्यवस्थापक अवलोकन यहां आता है,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,Admin overview goes here,ایڈمن جائزہ یہاں آتا ہے,Admin overview goes here,Admin overview goes here,管理員概覽在此顯示
adminScreenTBD,Translation key: adminScreenTBD,የአስተዳደር ማያ ሊታወቀው ይጠበቃል,شاشة الإدارة قيد التحديد,Административен екран предстои,অ্যাডমিন স্ক্রীন - পরে তৈরি করা হবে,[BN_BD] Admin screen coming soon,[BS] Admin screen coming soon,[CA] Admin screen coming soon,[CS] Admin screen coming soon,[CY] Admin screen coming soon,[DA] Admin screen coming soon,Admin-Bildschirm (TBD),Admin screen coming soon,Pantalla de administrador (Pendiente),[ES_419] Admin screen coming soon,[ET] Admin screen coming soon,[EU] Admin screen coming soon,صفحه مدیر - در حال توسعه,[FI] Admin screen coming soon,Admin screen coming soon,Écran administrateur (À faire),Scáileán riarthóra le socrú,[GL] Admin screen coming soon,Fuskar mai kulawa – A ci gaba,[HE] Admin screen coming soon,व्यवस्थापक स्क्रीन - विकासाधीन,[HR] Admin screen coming soon,[HU] Admin screen coming soon,[ID] Admin screen coming soon,[IS] Admin screen coming soon,[IT] Admin screen coming soon,[JA] Admin screen coming soon,[KO] Admin screen coming soon,[LT] Admin screen coming soon,[LV] Admin screen coming soon,[MK] Admin screen coming soon,[MS] Admin screen coming soon,[MT] Admin screen coming soon,[NL] Admin screen coming soon,[NO] Admin screen coming soon,[PL] Admin screen coming soon,[PT] Admin screen coming soon,[PT_BR] Admin screen coming soon,[RO] Admin screen coming soon,[RU] Admin screen coming soon,[SK] Admin screen coming soon,[SL] Admin screen coming soon,[SQ] Admin screen coming soon,[SR] Admin screen coming soon,[SV] Admin screen coming soon,[TH] Admin screen coming soon,[TR] Admin screen coming soon,[UK] Admin screen coming soon,ایڈمن اسکرین - تیار ہونا باقی ہے,[VI] Admin screen coming soon,管理员界面待定,管理員畫面 – 開發中
adminSettings,Translation key: adminSettings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin-Einstellungen,Admin Settings,Configuración de administrador,Admin Settings,Admin Settings,Admin Settings,تنظیمات ادمین,Admin Settings,Admin Settings,Paramètres administrateur,Admin Settings,Admin Settings,Saitunan mai kulawa,Admin Settings,व्यवस्थापक सेटिंग्स,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,Admin Settings,ایڈمن ترتیبات,Admin Settings,Admin Settings,管理員設定
advancedReporting,Translation key: advancedReporting,,,,,,,,,,,,• Advanced reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allCountries,Translation key: allCountries,,,,,,,,,,,,All Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allLanguages,Translation key: allLanguages,,,,,,,,,,,,All Languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allowOtherUsersToFindAndJoinThisGame,Translation key: allowOtherUsersToFindAndJoinThisGame,,,,,,,,,,,,Allow other users to find and join this game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allowPlaytime,Translation key: allowPlaytime,,,,,,,,,,,,Allow Playtime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambassadorDashboard,Translation key: ambassadorDashboard,,,,,,,,,,,,Ambassador Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambassadorOnboarding,Translation key: ambassadorOnboarding,,,,,,,,,,,,Ambassador Onboarding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambassadorQuotaDashboard,Translation key: ambassadorQuotaDashboard,,,,,,,,,,,,Ambassador Quota Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambassadorStatusAmbassadorstatus,Translation key: ambassadorStatusAmbassadorstatus,,,,,,,,,,,,Ambassador Status: {ambassador_status},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambassadors,Translation key: ambassadors,,,,,,,,,,,,Ambassadors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,Translation key: analytics,,,,,,,,,,,,Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appTitle,Translation key: appTitle,የመተግበሪያ ርዕስ,عنوان التطبيق,Заглавие на приложението,[BN] APP-OINT,অ্যাপ শিরোনাম,[BS] APP-OINT,[CA] APP-OINT,Název aplikace,Teitl y cais,App-titel,Appoint,APP-OINT,Appoint,[ES_419] APP-OINT,Rakenduse pealkiri,Aplikazioaren izenburua,Appoint,Sovelluksen otsikko,APP-OINT,Appoint,Teideal an aip,[GL] APP-OINT,Appoint,כותרת האפליקציה,Appoint,Naslov aplikacije,Alkalmazás címe,Judul aplikasi,[IS] APP-OINT,[IT] APP-OINT,アプリのタイトル,앱 제목,[LT] APP-OINT,[LV] APP-OINT,[MK] APP-OINT,Tajuk aplikasi,[MT] APP-OINT,[NL] APP-OINT,App-tittel,Tytuł aplikacji,[PT] APP-OINT,Título do app,Titlul aplicației,Название приложения,Názov aplikácie,Naslov aplikacije,[SQ] APP-OINT,[SR] APP-OINT,App-titel,ชื่อแอป,Uygulama Başlığı,Назва додатка,Appoint,Tiêu đề ứng dụng,应用标题,Appoint
appVersionAndInformation,Translation key: appVersionAndInformation,,,,,,,,,,,,App version and information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appVersionLogappversion,Translation key: appVersionLogappversion,,,,,,,,,,,,App Version: {log_appVersion},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apply,Translation key: apply,,,,,,,,,,,,Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appointment,Translation key: appointment,appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),,,Cita,appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),نوبت: {id},appointment (TRANSLATE),appointment (TRANSLATE),Rendez-vous,appointment (TRANSLATE),appointment (TRANSLATE),Haduwa: {id},פגישה,अपॉइंटमेंट: {id},appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),Appuntamento,appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE),ملاقات: {id},appointment (TRANSLATE),appointment (TRANSLATE),appointment (TRANSLATE)
appointmentAppointmentid,Translation key: appointmentAppointmentid,,,,,,,,,,,,Appointment {appointment_id},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appointmentApptid,Translation key: appointmentApptid,,,,,,,,,,,,Appointment: {appt_id},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appointmentInviteappointmentid,Translation key: appointmentInviteappointmentid,,,,,,,,,,,,Appointment: {invite_appointmentId},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appointmentRequests,Translation key: appointmentRequests,,,,,,,,,,,,Appointment Requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appointments,Translation key: appointments,,,,,,,,,,,,Appointments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appointmentsListlength,Translation key: appointmentsListlength,,,,,,,,,,,,Appointments: {list_length},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
approve,Translation key: approve,,,,,,,,,,,,Approve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
areYouSureYouWantToCancelThisAppointment,Translation key: areYouSureYouWantToCancelThisAppointment,,,,,,,,,,,,Are you sure you want to cancel this appointment?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
areYouSureYouWantToDeleteThisAppointment,Translation key: areYouSureYouWantToDeleteThisAppointment,,,,,,,,,,,,Are you sure you want to delete this appointment?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
areYouSureYouWantToDeleteThisMessage,Translation key: areYouSureYouWantToDeleteThisMessage,,,,,,,,,,,,Are you sure you want to delete this message?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
areYouSureYouWantToDeleteThisProvider,Translation key: areYouSureYouWantToDeleteThisProvider,,,,,,,,,,,,Are you sure you want to delete this provider?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorAccountExistsWithDifferentCredential,Translation key: authErrorAccountExistsWithDifferentCredential,,,,,,,,,,,,An account already exists with this email using a different sign-in method.,,,,,,,,,,,,כבר קיים חשבון עם אימייל זה המשתמש בשיטת התחברות אחרת.,,,,,,Esiste già un account con questa email usando un metodo di accesso diverso.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorAppNotAuthorized,Translation key: authErrorAppNotAuthorized,,,,,,,,,,,,This app is not authorized to use Firebase Authentication.,,,,,,,,,,,,אפליקציה זו אינה מורשית להשתמש ב-Firebase Authentication.,,,,,,Questa app non è autorizzata a usare Firebase Authentication.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorCodeExpired,Translation key: authErrorCodeExpired,,,,,,,,,,,,The verification code has expired. Please request a new one.,,,,,,,,,,,,קוד האימות פג תוקף. אנא בקש אחד חדש.,,,,,,Il codice di verifica è scaduto. Richiedine uno nuovo.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorCredentialAlreadyInUse,Translation key: authErrorCredentialAlreadyInUse,,,,,,,,,,,,These credentials are already associated with another account.,,,,,,,,,,,,פרטי התחברות אלה כבר קשורים לחשבון אחר.,,,,,,Queste credenziali sono già associate a un altro account.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorEmailAlreadyInUse,Translation key: authErrorEmailAlreadyInUse,,,,,,,,,,,,An account with this email already exists.,,,,,,,,,,,,כבר קיים חשבון עם אימייל זה.,,,,,,Esiste già un account con questa email.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorEmailChangeNeedsVerification,Translation key: authErrorEmailChangeNeedsVerification,,,,,,,,,,,,Email change requires verification.,,,,,,,,,,,,שינוי אימייל דורש אימות.,,,,,,La modifica dell'email richiede la verifica.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorIdTokenExpired,Translation key: authErrorIdTokenExpired,,,,,,,,,,,,The ID token has expired.,,,,,,,,,,,,טוקן ה-ID פג תוקף.,,,,,,Il token ID è scaduto.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorIdTokenRevoked,Translation key: authErrorIdTokenRevoked,,,,,,,,,,,,The ID token has been revoked.,,,,,,,,,,,,טוקן ה-ID בוטל.,,,,,,Il token ID è stato revocato.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInternalError,Translation key: authErrorInternalError,,,,,,,,,,,,An internal error occurred. Please try again.,,,,,,,,,,,,אירעה שגיאה פנימית. אנא נסה שוב.,,,,,,Si è verificato un errore interno. Riprova.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidArgument,Translation key: authErrorInvalidArgument,,,,,,,,,,,,An invalid argument was provided.,,,,,,,,,,,,סופק ארגומנט לא תקין.,,,,,,È stato fornito un argomento non valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidClaims,Translation key: authErrorInvalidClaims,,,,,,,,,,,,Invalid custom claims provided.,,,,,,,,,,,,סופקו טענות מותאמות אישית לא תקינות.,,,,,,Sono state fornite rivendicazioni personalizzate non valide.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidContinueUri,Translation key: authErrorInvalidContinueUri,,,,,,,,,,,,The continue URL is invalid.,,,,,,,,,,,,כתובת ה-URL להמשך אינה תקינה.,,,,,,L'URL di continuazione non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidCreationTime,Translation key: authErrorInvalidCreationTime,,,,,,,,,,,,The creation time is invalid.,,,,,,,,,,,,זמן היצירה אינו תקין.,,,,,,L'ora di creazione non è valida.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidCredential,Translation key: authErrorInvalidCredential,,,,,,,,,,,,Invalid credentials. Please try again.,,,,,,,,,,,,פרטי התחברות לא תקינים. אנא נסה שוב.,,,,,,Credenziali non valide. Riprova.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidDisabledField,Translation key: authErrorInvalidDisabledField,,,,,,,,,,,,The disabled field value is invalid.,,,,,,,,,,,,ערך השדה המושבת אינו תקין.,,,,,,Il valore del campo disabilitato non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidDisplayName,Translation key: authErrorInvalidDisplayName,,,,,,,,,,,,The display name is invalid.,,,,,,,,,,,,שם התצוגה אינו תקין.,,,,,,Il nome visualizzato non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidDynamicLinkDomain,Translation key: authErrorInvalidDynamicLinkDomain,,,,,,,,,,,,The dynamic link domain is invalid.,,,,,,,,,,,,דומיין הקישור הדינמי אינו תקין.,,,,,,Il dominio del link dinamico non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
